deployment_label,run_id,start_time,end_time,duration_s
nersc_recon_flow,ab3dd547-ef80-4eb6-9174-d9c52c447fd1,2025-06-08 08:26:24.688346+00:00,2025-06-08 08:34:54.082123+00:00,509.393777
nersc_recon_flow,98b4b011-1fdd-4c9d-ba78-a02f53ed3085,2025-06-08 07:57:12.551394+00:00,2025-06-08 08:26:07.285821+00:00,1734.734427
nersc_recon_flow,b0eb2625-2246-4a7d-b527-84ec42aa7e55,2025-06-08 07:29:02.556218+00:00,2025-06-08 07:57:00.692157+00:00,1678.135939
nersc_recon_flow,68081a9a-1703-4516-800e-03e41522aa22,2025-06-08 07:00:12.727942+00:00,2025-06-08 07:28:57.693600+00:00,1724.965658
nersc_recon_flow,5d6b8516-bcc0-42c8-85c8-2d24d17ab3e8,2025-06-08 06:32:06.058836+00:00,2025-06-08 06:59:55.706573+00:00,1669.647737
nersc_recon_flow,2b580b52-f5e2-4d23-8b33-c7a743360a1e,2025-06-08 06:04:05.222670+00:00,2025-06-08 06:32:00.893374+00:00,1675.670704
nersc_recon_flow,5c82b857-a661-4208-94a9-aa6cf13d53da,2025-06-08 05:36:45.985460+00:00,2025-06-08 06:03:59.935282+00:00,1633.949822
nersc_recon_flow,1ef352b1-dc00-4a8a-be65-c7f059198336,2025-06-08 05:08:28.491740+00:00,2025-06-08 05:36:31.735445+00:00,1683.243705
nersc_recon_flow,709a998b-62ab-4bef-84f6-64cda7df7b71,2025-06-08 04:41:02.292909+00:00,2025-06-08 05:08:23.287332+00:00,1640.994423
nersc_recon_flow,84a0a526-966f-4119-b728-c5294b7ceb0f,2025-06-08 04:13:17.480631+00:00,2025-06-08 04:40:47.457960+00:00,1649.977329
nersc_recon_flow,c3f1e40f-0569-4be5-bc08-39a0365de3c3,2025-06-08 03:45:15.490739+00:00,2025-06-08 04:13:09.565445+00:00,1674.074706
nersc_recon_flow,b06bacf7-65bf-4bd3-9165-dae7aa12a83b,2025-06-08 03:37:39.621339+00:00,2025-06-08 03:45:00.168814+00:00,440.547475
nersc_recon_flow,87fbc875-e357-4af3-a167-37c0ac97ba6b,2025-06-08 03:30:49.739465+00:00,2025-06-08 03:37:23.714220+00:00,393.974755
nersc_recon_flow,a7cdfe65-b0c2-40e7-9990-532483996bb8,2025-06-08 03:03:03.568046+00:00,2025-06-08 03:30:45.480788+00:00,1661.912742
nersc_recon_flow,6440690d-f585-4550-a105-e575baa60751,2025-06-08 02:35:21.531354+00:00,2025-06-08 03:02:43.588509+00:00,1642.057155
nersc_recon_flow,72b9c886-1e4f-4eca-b96b-0d446c020b3b,2025-06-08 02:07:27.883204+00:00,2025-06-08 02:35:12.939426+00:00,1665.056222
nersc_recon_flow,1e1207a4-706a-4b97-b998-032fa4782791,2025-06-08 01:39:53.117667+00:00,2025-06-08 02:07:23.336637+00:00,1650.21897
nersc_recon_flow,d57fc8f5-ff4a-450f-af2e-ab20647bbb3a,2025-06-08 01:11:31.465236+00:00,2025-06-08 01:39:36.058679+00:00,1684.593443
nersc_recon_flow,81465f77-26c5-4c00-bf0f-ddaf6d356851,2025-06-08 01:04:40.298843+00:00,2025-06-08 01:11:22.958197+00:00,402.659354
nersc_recon_flow,6fc6c405-f8db-4bff-ad53-6139f578eed1,2025-06-08 00:25:19.378936+00:00,2025-06-08 01:04:30.166653+00:00,2350.787717
nersc_recon_flow,e5b0faf0-0d44-4dfd-9f3a-e6c1d96150fc,2025-06-07 23:55:51.439939+00:00,2025-06-08 00:25:09.316768+00:00,1757.876829
nersc_recon_flow,8b2f7d79-50d9-44c6-9149-d4a7f35e9631,2025-06-07 23:48:19.076487+00:00,2025-06-07 23:55:45.151946+00:00,446.075459
nersc_recon_flow,78310264-3167-4e54-bbf4-faa6167cff0f,2025-06-07 23:16:12.972095+00:00,2025-06-07 23:48:06.704747+00:00,1913.732652
nersc_recon_flow,d539473e-5ed8-47a5-8876-3185e4ba9a01,2025-06-07 22:47:24.027828+00:00,2025-06-07 23:15:58.908440+00:00,1714.880612
nersc_recon_flow,486731e8-12be-4e9b-8ecd-876c3ad49a85,2025-06-07 22:18:31.345276+00:00,2025-06-07 22:47:10.780493+00:00,1719.435217
nersc_recon_flow,159b7c68-c72e-4643-8caa-8289e3f94719,2025-06-07 21:50:54.594077+00:00,2025-06-07 22:18:19.974013+00:00,1645.379936
nersc_recon_flow,b80933e2-8f97-46ae-ab4c-6c7c348938c7,2025-06-07 21:24:18.640069+00:00,2025-06-07 21:50:47.890505+00:00,1589.250436
nersc_recon_flow,68370ab0-9c5f-448b-8c43-ce58016ddfb6,2025-06-07 20:56:45.190357+00:00,2025-06-07 21:24:05.522593+00:00,1640.332236
nersc_recon_flow,c90955a1-5764-455c-a4a0-bb5077ddd61e,2025-06-07 20:27:54.043980+00:00,2025-06-07 20:56:39.907525+00:00,1725.863545
nersc_recon_flow,2ed6056b-72c0-42a1-9b56-f03914491fa2,2025-06-07 20:21:05.544338+00:00,2025-06-07 20:27:47.292014+00:00,401.747676
nersc_recon_flow,a2174563-a70d-4fd3-969e-cd984d9b5838,2025-06-07 19:53:21.026401+00:00,2025-06-07 20:20:52.870307+00:00,1651.843906
nersc_recon_flow,5e23128a-7147-4e6e-84e3-6899beb41f25,2025-06-07 19:25:28.085517+00:00,2025-06-07 19:53:13.660786+00:00,1665.575269
nersc_recon_flow,8b6dcc43-25a4-4576-8d02-c76ec1d33810,2025-06-07 18:58:03.999526+00:00,2025-06-07 19:25:16.693433+00:00,1632.693907
nersc_recon_flow,ceed8367-49e9-4998-923f-0868cf1ba6a5,2025-06-07 18:30:26.016489+00:00,2025-06-07 18:57:58.436752+00:00,1652.420263
nersc_recon_flow,53b0efb6-e823-4f79-8e37-0d21a6dc4465,2025-06-07 18:03:37.409436+00:00,2025-06-07 18:30:17.023309+00:00,1599.613873
nersc_recon_flow,f10a2fc2-cc8e-4d98-b103-de99004c831b,2025-06-07 17:36:28.992166+00:00,2025-06-07 18:03:22.854153+00:00,1613.861987
nersc_recon_flow,00d1892f-b3eb-4139-873f-ab8e8c833db6,2025-06-07 17:09:24.499653+00:00,2025-06-07 17:36:10.290499+00:00,1605.790846
nersc_recon_flow,583587c9-c203-476f-a364-de6ab25e22fd,2025-06-07 16:42:33.890264+00:00,2025-06-07 17:09:15.451624+00:00,1601.56136
nersc_recon_flow,fc4bf0c6-4ac6-4da9-8580-5098c2cb006e,2025-06-07 16:15:44.049872+00:00,2025-06-07 16:42:29.316395+00:00,1605.266523
nersc_recon_flow,08c863fa-adfd-497f-9418-7df2fc760b7f,2025-06-07 15:48:41.131138+00:00,2025-06-07 16:15:32.087422+00:00,1610.956284
nersc_recon_flow,056b528a-9c3d-4260-a63d-113ea8bcd1ed,2025-06-07 15:18:21.142404+00:00,2025-06-07 15:48:28.096706+00:00,1806.954302
nersc_recon_flow,00776062-d875-4018-b813-61cc7e81d049,2025-06-07 14:48:14.520035+00:00,2025-06-07 15:18:09.549119+00:00,1795.029084
nersc_recon_flow,65ceb15e-dddc-41fb-ac56-d46471831564,2025-06-07 14:18:13.227730+00:00,2025-06-07 14:48:00.557789+00:00,1787.330059
nersc_recon_flow,519e9536-eb0f-4b35-96a6-476eff01df26,2025-06-07 13:46:57.324138+00:00,2025-06-07 14:17:56.221956+00:00,1858.897818
nersc_recon_flow,1711d04e-3653-45b0-83f5-44003e849a3d,2025-06-07 13:17:00.918206+00:00,2025-06-07 13:46:39.608808+00:00,1778.690602
nersc_recon_flow,c8cd07af-3eef-41d5-b61b-6107b0d8ee8b,2025-06-07 12:47:36.205061+00:00,2025-06-07 13:16:44.481698+00:00,1748.276637
nersc_recon_flow,fa587934-1b46-46df-b19e-8cd4234b34c0,2025-06-07 12:17:21.726339+00:00,2025-06-07 12:47:23.736929+00:00,1802.01059
nersc_recon_flow,4ab336b8-6ede-4bc3-bb3c-c8b195bcc062,2025-06-07 11:48:04.321727+00:00,2025-06-07 12:17:14.116096+00:00,1749.794369
nersc_recon_flow,5fd52542-480c-400e-b2e0-45acc3bcf793,2025-06-07 11:18:05.616546+00:00,2025-06-07 11:47:47.240872+00:00,1781.624326
nersc_recon_flow,5b7538f7-56c5-4c59-a611-71186d1aee4c,2025-06-07 10:47:21.877810+00:00,2025-06-07 11:17:49.020154+00:00,1827.142344
nersc_recon_flow,97cadf57-0614-47e4-955c-66581e07d9e2,2025-06-07 10:18:19.758736+00:00,2025-06-07 10:47:08.780527+00:00,1729.021791
nersc_recon_flow,d5210010-2a94-47bb-9d1b-89698646886c,2025-06-07 09:46:28.046347+00:00,2025-06-07 10:17:55.876818+00:00,1887.830471
